0	English	Українська	日本語	한국어	Chinese
1	Sato	Сато	佐藤	사토	
2	Suzuki	Сузукі	鈴木	스즈키	
3	Takahashi	Такахаші	高橋	타카하시	
4	Tanaka	Танака	田中	타나카	
5	Watanabe	Ватанабе	渡辺	와타나베	
6	Ito	Іто	伊藤	이토	
7	Nakamura	Накамура	中村	나카무라	
8	Kobayashi	Кобаяші	小林	고바야시	
9	Yamamoto	Ямамото	山本	야마모토	
10	Kato	Като	加藤	카토	
11	Yoshida	Йошіда	吉田	요시다	
12	Yamada	Ямада	山田	야마다	
13	Sasaki	Сасакі	佐々木	사사키	
14	Yamaguchi	Ямагучі	山口	야마구치	
15	Matsumoto	Мацумото	松本	마츠모토	
16	Inoue	Іноє	井上	이노우에	
17	Kimura	Кімура	木村	키무라	
18	Shimizu	Шімізу	清水	시미즈	
19	Hayashi	Хаяші	林	하야시	
20	Saito	Сайто	斉藤	사이토	
21	Saito	Саіто	斎藤	사이토	
22	Yamazaki	Ямазакі	山崎	야마자키	
23	Nakajima	Накаджіма	中島	나카지마	
24	Mori	Морі	森	모리	
25	Abe	Абе	阿部	아베	
26	Ikeda	Ікеда	池田	이케다	
27	Hashimoto	Хашімото	橋本	하시모토	
28	Ishikawa	Ішікава	石川	이시카와	
29	Yamashita	Ямашіта	山下	야마시타	
30	Ogawa	Огава	小川	오가와	
31	Ishii	Ішіі	石井	이시이	
32	Hasegawa	Hasegawa	長谷川	하세가와	
33	Goto	Гото	後藤	고토	
34	Okada	Окада	岡田	오카다	
35	Kondo	Кондо	近藤	콘도	
36	Maeda	Маеда	前田	마에다	
37	Fujita	Фуджіта	藤田	후지타	
38	Endo	Эндо	遠藤	엔도	
39	Aoki	Аокі	青木	아오키	
40	Sakamoto	Сакамото	坂本	사카모토	
41	Murakami	Муракамі	村上	무라카미	
42	Ota	Ота	太田	오타	
43	Kaneko	Канеко	金子	카네코	
44	Fujii	Фуджі	藤井	후지이	
45	Fukuda	Фукуда	福田	후쿠다	
46	Nishimura	Нішімура	西村	니시무라	
47	Miura	Міура	三浦	미우라	
48	Takeuchi	Такеучі	竹内	타케우치	
49	Nakagawa	Накагава	中川	나카가와	
50	Okamoto	Окамото	岡本	오카모토	
51	Matsuda	Мацуда	松田	마츠다	
52	Harada	Харада	原田	하라다	
53	Nakano	Накано	中野	나카노	
54	Ono	Оно	小野	오노	
55	Tamura	Тамура	田村	타무라	
56	Fujiwara	Фуджівара	藤原	후지와라	
57	Nakayama	Накаяма	中山	나카야마	
58	Ishida	Ішіда	石田	이시다	
59	Kojima	Коджіма	小島	코지마	
60	Wada	Вада	和田	와다	
61	Morita	Моріта	森田	모리타	
62	Uchida	Учіда	内田	우치다	
63	Shibata	Шібата	柴田	시바타	
64	Sakai	Сакай	酒井	사카이	
65	Hara	Хара	原	하라	
66	Takagi	Такагі	高木	타카기	
67	Yokoyama	Йокояма	横山	요코야마	
68	Ando	Андо	安藤	안도	
69	Miyazaki	Міязакі	宮崎	미야자키	
70	Ueda	Уеда	上田	우에다	
71	Shimada	Шімада	島田	시마다	
72	Kudo	Кудо	工藤	쿠도	
73	Ono	Оно	大野	오노	
74	Miyamoto	Міямото	宮本	미야모토	
75	Sugiyama	Сугіяма	杉山	스기야마	
76	Imai	Імай	今井	이마이	
77	Maruyama	Маруяма	丸山	마루야마	
78	Masuda	Масуда	増田	마스다	
79	Takada	Такада	高田	타카다	
80	Murata	Мурата	村田	무라타	
81	Hirano	Хірано	平野	히라노	
82	Otsuka	Оцука	大塚	오츠카	
83	Sugawara	Сугавара	菅原	스가와라	
84	Takeda	Такеда	武田	타케다	
85	Arai	Арай	新井	아라이	
86	Koyama	Кояма	小山	코야마	
87	Noguchi	Ногучі	野口	노구치	
88	Sakurai	Сакурай	桜井	사쿠라이	
89	Chiba	Чіба	千葉	치바	
90	Iwasaki	Івасакі	岩崎	이와사키	
91	Sano	Сано	佐野	사노	
92	Taniguchi	Танігучі	谷口	타니구치	
93	Ueno	Уено	上野	우에노	
94	Matsui	Мацуі	松井	마츠이	
95	Kono	Коно	河野	코노	
96	Ichikawa	Ішікава	市川	이치카와	
97	Watanabe	Ватанабе	渡部	와타나베	
98	Nomura	Номура	野村	노무라	
99	Kikuchi	Кікучі	菊地	키쿠치	
100	Kinoshita	Кіношіта	木下	키노시타	
101	Kasuga	Касуга	春日	카스가	
102	Kiryu	Кірю	桐生	키류	
103	Majima	Маджіма	真島	마지마	
104	Kabu	Кабу	株	주
