	Tiếng Việt	Українська	日本語	한국어	UI language name	
1	Cảnh sát	Поліція	警察	경찰	UI	
2	Bác sĩ	Доктор	医者	의사	UI	
3	Bạn không thể đi đâu cả.	Ви не можете нікуди виходити.	どこにも行けません。	지금은 어디에도 갈 수 없습니다.	UI	
4	Đóng cửa	Закрито	休業	휴무	UI	
5	Thị trường chứng khoán đóng cửa vào cuối tuần.	Сьогодні вихідний, біржа не працює.	週末は株式市場は休みです。	휴일에는 주식 시장을 열지 않습니다.	UI	
6	Ngân hàng không làm việc vào cuối tuần.	Сьогодні вихідний, банк не працює.	週末は銀行は休みです。	휴일에는 은행을 열지 않습니다.	UI	
7	Chúng tôi sẵn sàng cho bạn vay #{global.summa} với lãi suất <bankpro>% #Chúng tôi sẽ trừ số tiền cần thiết từ tài khoản của bạn hàng tháng.	Ми готові надати вам кредит у#{global.summa} під <bankpro>%. Ми зніматимемо з вашого рахунку потрібну суму кожен місяць.	金利<bankpro>%で#{global.summa}の融資をご提供する準備ができています。#毎月お客様の口座から必要な金額をお引き落としします。	#{global.summa} <bankpro>% 금리로 대출해 드릴 수 있습니다.#매달 계좌에서 일정 금액이 상환됩니다.	UI	
8	Ngân hàng	Банк	銀行	은행	UI	
9	Hạnh phúc	Щастя	幸福度	행복	UI	
10	Thoải mái	Комфорт	快適度	편의	UI	
11	Stress	Стрес	ストレス	스트레스	UI	
12	Chi tiêu cá nhân	Особисті витрати	個人的経費	개인 지출	UI	
13	Chi phí điều trị	Витрати на лікування	医療費	치료비	UI	
14	Đã chi hôm qua～	Витрачено вчора～	昨日の出費～	어제의 지출～	UI	
15	Bạn đang được bảo hộ	Ви під вартою	あなたは拘留されています	구속된 상태입니다	UI	
16	Tỉnh đã cấp cho bạn	Вас забезпечує держава	国からの支給	국가 지원:	UI	
17	GAME OVER	ГРУ ЗАКІНЧЕНО	ゲームオーバー	게임 오버	UI	
18	Nhà của bạn: 	Ваше житло: 	所有住宅：	소유 주택:	UI	
19	Nhà thuê (10000 yên một ngày)	Орендоване житло (10000 єн за добу)	賃貸住宅（1泊10,000円）	임대 (10000엔/일)	UI	
20	Xe của bạn: 	Ваша машина: 	所有車：	소유 차량:	UI	
21	Tài sản:	Загальний статок:	資産：	재산:	UI	
22	Thu nhập: 	Дохід: 	収入：	수입:	UI	
23	Chi tiêu: 	Витрати: 	支出：	지출:	UI	
24	Lãi: 	Прибуток: 	純利益：	수익:	UI	
25	Thuế thu nhập	Податок на доходи	所得税	소득세	UI	
26	Nợ: 	Борг: 	負債：	부채:	UI	
27	Nhà	Головна	ホーム	집	UI	
28	Biểu đồ	Курси	チャート	차트	UI	
29	Giao dịch	Біржа	取引所	거래소	UI	
30	Thị trường	Фондова біржа	株式市場	주식 시장	UI	
31	Cơ sở vật chất	Послуги	施設	자산	UI	
32	Thư kí	Радниця	顧問	자문	UI	
33	Bất động sản	Нерухомість	不動産	부동산	UI	
34	Xe	Автомобіль	自動車	차량	UI	
35	sau khi bán nhà	після продажу вашого будинку	所有住宅売却後	주택 매각 후	UI	
36	sau khi bán xe	після продажу вашої машини	所有車売却後	차량 매각 후	UI	
37	Bán	Продаж	売却	매각	UI	
38	Mua	Купівля	購入	매입	UI	
39	Bạn có muốn bán xe này với giá 	Ви хочете продати свою машину	次の金額で車を売りますか。	다음 금액으로 차량을 판매합니다:	UI	
40	Bạn có muốn mua xe này?	Ви хочете купити цю машину?	この車を買いますか？	이 차량을 구입하시겠습니까?	UI	
41	Bạn không có đủ tiền.	У вас бракує грошей.	お金が足りません。	돈이 부족합니다.	UI	
42	Bạn có muốn bán nhà này với giá	Ви впевнені, що хочете продати свій дім?	本当に次の金額で家を売っていいですか？	다음 금액으로 주택을 판매합니다:	UI	
43	Bạn có muốn mua?	Ви хочете купити це?	これを買いますか？	정말 매입하시겠습니까?	UI	
44	Không xe	Немає автомобіля	車なし	차량 없음	UI	
45	Đã sử dụng xe con	Б/в легкого класу	中古軽自動車	중고 경차	UI	
46	Xe Con	Легкий клас	軽自動車	경차	UI	
47	Đã sử dụng xe hạng nhỏ gọn	Б/в компакт	中古コンパクトカー	중고 소형차	UI	
48	Xe Nhỏ Gọn	Компакт	コンパクトカー	소형차	UI	
49	Xe hạng trung	Середній клас	大型車	중형차	UI	
50	Xe hạng thương gia	Бізнес-клас	エグゼクティブカー	중형차	UI	
51	Xe hạng siêu sang	Представницький клас	高級車	고급차	UI	
52	Không nhà	Нема будинку	住宅なし	주택 없음	UI	
53	Nhà trọ 1R - Nhà trọ nhỏ trong căn hộ	Квартира-студія 1R - маленька квартира-студія в апартаментах	ワンルーム1R - 小さなワンルームマンション	원룸 - 소형 원룸	UI	
54	Nhà trọ 1K - Nhà trọ nhỏ với một gian bếp trong căn hộ	Квартира-студія 1K - маленька квартира-студія з кухнею в апартаментах	ワンルーム1K - キッチン付きの小さなワンルームマンション	주방 원룸 - 주방이 있는 소형 원룸	UI	
